IBF-size	TP	FP	FN	Precision	Recall
1M	460555	32307381	1	0.014055050644630165	0.9999978287113837
5M	460555	32307202	1	0.014055127422972527	0.9999978287113837
10M	460527	19187650	29	0.023438663037288397	0.9999370326301253
15M	460309	2603779	247	0.15022708225090142	0.9994636917117571
20M	460054	426686	502	0.5188149852267857	0.9989100131145833
25M	459829	132159	727	0.7767539206875815	0.9984214731759005
30M	459621	74240	935	0.8609375848769624	0.9979698451436959
35M	459495	58113	1061	0.8877277785505634	0.9976962627780335
40M	459376	52420	1180	0.8975763780881445	0.9974378794326857
45M	459319	49802	1237	0.9021804246927547	0.9973141159815527
50M	459240	48484	1316	0.9045071731885828	0.9971425841808597
55M	459219	47600	1337	0.9060808691071172	0.9970969871199159
60M	459176	47130	1380	0.9069140006241285	0.9970036217094121
