overlap	#patterns	TP	FP	FN	Precision	Recall	Runtime(sec)
0	3	367885	26936	92673	0.9317766785454674	0.7987810438641821	65.0
10	4	404227	29531	56331	0.9319182585681417	0.8776896720934171	64.81
20	5	421084	31531	39474	0.9303359367232636	0.9142909253557641	64.96
30	6	434832	33680	25726	0.9281128338228263	0.9441416716244209	65.29
40	11	449507	37674	11051	0.9226693980266061	0.9760051936998163	67.05
45	21	455080	40597	5478	0.9180978742205105	0.9881057326113106	70.39
46	26	455897	41192	4661	0.9171335515370487	0.9898796677074332	72.12
47	35	456972	41978	3586	0.9158673213748872	0.9922137928339102	75.53
48	51	457922	43055	2636	0.9140579308032105	0.9942765080619597	81.22
49	101	458693	44065	1865	0.9123534583238855	0.9959505643154608	93.12
