IBF-size	TP	FP	FN	Precision	Recall
1M	458694	32309306	0	0.01399822998046875	1.0
5M	458694	32309088	0	0.013998323108961113	1.0
10M	458664	19202388	30	0.023328558410811384	0.999934596920823
15M	458462	2612561	232	0.14928641042414856	0.9994942161876981
20M	458192	429523	502	0.5161476374737387	0.9989055884751054
25M	457963	133487	731	0.774305520331389	0.9984063449707212
30M	457793	75988	901	0.8576419917531721	0.9980357275220517
35M	457643	60134	1051	0.8838611989331314	0.9977087121261669
40M	457525	54469	1169	0.893613987663918	0.9974514600147375
45M	457472	51663	1222	0.8985278953519205	0.9973359145748582
50M	457394	50445	1300	0.9006673374829425	0.9971658665689981
55M	457341	49650	1353	0.90206926750179	0.9970503211291187
60M	457290	49093	1404	0.9030516427289226	0.9969391358945179
