IBF-size	TP	FP	FN	Precision	Recall
1M	461071	32306929	0	0.014070770263671876	1.0
5M	461071	32306929	0	0.014070770263671876	1.0
10M	461071	32306170	0	0.014071096190246839	1.0
15M	461071	17002987	0	0.026401137696633853	1.0
20M	461071	701410	0	0.3966266975546267	1.0
25M	461071	62504	0	0.8806207324643078	1.0
30M	461070	46501	1	0.9083852308347009	0.9999978311366362
35M	461066	42887	5	0.9148988100080762	0.9999891556831811
40M	461055	39804	16	0.9205285319820549	0.9999652981861795
45M	461040	37378	31	0.9250067212660859	0.9999327652357229
50M	461039	35278	32	0.9289204278717029	0.9999305963723591
55M	461023	33391	48	0.9324634820211402	0.9998958945585387
60M	461011	32057	60	0.9349846268668824	0.9998698681981734
