IBF-size	TP	FP	FN	Precision	Recall
1M	460550	29446302	8	0.01539948102862849	0.9999826297665007
5M	459076	46093	1482	0.9087572673699297	0.9967821642442428
10M	458693	44065	1865	0.9123534583238855	0.9959505643154608
15M	458598	43629	1960	0.9131289237735127	0.9957442927926559
20M	458558	43515	2000	0.9133293365705784	0.995657441625159
25M	458531	43408	2027	0.9135193718758654	0.9955988170870987
30M	458524	43380	2034	0.9135691287576907	0.9955836181327867
35M	458512	43348	2046	0.913625313832543	0.9955575627825377
40M	458512	43323	2046	0.9136708280610161	0.9955575627825377
45M	458507	43317	2051	0.9136808921055988	0.9955467063866006
50M	458504	43307	2054	0.9136985837297309	0.9955401925490384
55M	458507	43296	2051	0.9137191288214698	0.9955467063866006
60M	458503	43292	2055	0.9137257246485119	0.9955380212698509
