IBF-size	TP	FP	FN	Precision	Recall
1M	458620	32171439	3	0.014055138545719454	0.999993458679569
5M	457824	62753	799	0.8794549125297506	0.9982578283252257
10M	457624	49561	999	0.9022822047181994	0.9978217402964963
15M	457558	49204	1065	0.9029051112751153	0.9976778312470155
20M	457531	49079	1092	0.9031227176723713	0.997618959363137
25M	457523	49024	1100	0.9032192471774584	0.9976015158419879
30M	457514	48997	1109	0.9032656743881179	0.997581891880695
35M	457513	48992	1110	0.9032744000552808	0.9975797114405514
40M	457508	48968	1115	0.9033162479564678	0.9975688092398332
45M	457506	48966	1117	0.9033194332559352	0.9975644483595458
50M	457506	48963	1117	0.9033247839453155	0.9975644483595458
55M	457506	48954	1117	0.9033408363937923	0.9975644483595458
60M	457502	48953	1121	0.9033418566308952	0.9975557265989713
