overlap	#patterns	TP	FP	FN	Precision	Recall	Runtime(sec)
0	3	366397	17284	92129	0.9549521607793975	0.7990757339823696	43.92
10	4	401843	18578	56683	0.9558109609177468	0.8763799653672856	45.2
20	5	418845	19633	39681	0.9552246634950898	0.9134596511430104	43.84
30	6	433995	21275	24531	0.9532694884354339	0.9465003075070988	45.74
40	11	447363	23024	11163	0.9510530690686605	0.9756545975582628	47.16
45	21	454534	24172	3992	0.9495055420237055	0.991293841570598	48.6
46	26	455750	24515	2776	0.948955264281178	0.9939458176853657	52.68
47	35	456850	24946	1676	0.9482228993183837	0.9963448092365537	54.8
48	51	457731	25420	795	0.9473870487694324	0.9982661833789142	60.16
49	101	458526	25643	0	0.9470370882894196	1.0	77.78
